,name,team,position,height_in,weight_lb,age,years_played
0,Adam_Donachie,BAL,Catcher,74,180.0,22.99,11
1,Paul_Bako,BAL,Catcher,74,215.0,34.69,2
2,Ramon_Hernandez,BAL,Catcher,72,210.0,30.78,1
3,Kevin_Millar,BAL,First_Baseman,72,210.0,35.43,1
4,Chris_Gomez,BAL,First_Baseman,73,188.0,35.71,17
5,Brian_Roberts,BAL,Second_Baseman,69,176.0,29.39,16
6,Miguel_Tejada,BAL,Shortstop,69,209.0,30.77,10
7,Melvin_Mora,BAL,Third_Baseman,71,200.0,35.07,12
8,Aubrey_Huff,BAL,Third_Baseman,76,231.0,30.19,15
9,Adam_Stern,BAL,Outfielder,71,180.0,27.05,11
10,Jeff_Fiorentino,BAL,Outfielder,73,188.0,23.88,4
11,Freddie_Bynum,BAL,Outfielder,73,180.0,26.96,18
12,Nick_Markakis,BAL,Outfielder,74,185.0,23.29,7
13,Brandon_Fahey,BAL,Outfielder,74,160.0,26.11,20
14,Corey_Patterson,BAL,Outfielder,69,180.0,27.55,18
15,Jay_Payton,BAL,Outfielder,70,185.0,34.27,9
16,Jay_Gibbons,BAL,Designated_Hitter,72,197.0,30.0,5
17,Erik_Bedard,BAL,Starting_Pitcher,73,189.0,27.99,7
18,Hayden_Penn,BAL,Starting_Pitcher,75,185.0,22.38,12
19,Adam_Loewen,BAL,Starting_Pitcher,78,219.0,22.89,15
20,Daniel_Cabrera,BAL,Starting_Pitcher,79,230.0,25.76,17
21,Steve_Trachsel,BAL,Starting_Pitcher,76,205.0,36.33,7
22,Jaret_Wright,BAL,Starting_Pitcher,74,230.0,31.17,12
23,Kris_Benson,BAL,Starting_Pitcher,76,195.0,32.31,18
24,Scott_Williamson,BAL,Relief_Pitcher,72,180.0,31.03,8
25,John_Parrish,BAL,Relief_Pitcher,71,192.0,29.26,9
26,Danys_Baez,BAL,Relief_Pitcher,75,225.0,29.47,12
27,Chad_Bradford,BAL,Relief_Pitcher,77,203.0,32.46,18
28,Jamie_Walker,BAL,Relief_Pitcher,74,195.0,35.67,6
29,Brian_Burres,BAL,Relief_Pitcher,73,182.0,25.89,10
30,Kurt_Birkins,BAL,Relief_Pitcher,74,188.0,26.55,12
31,James_Hoey,BAL,Relief_Pitcher,78,200.0,24.17,12
32,Sendy_Rleal,BAL,Relief_Pitcher,73,180.0,26.69,14
33,Chris_Ray,BAL,Relief_Pitcher,75,200.0,25.13,18
34,Jeremy_Guthrie,BAL,Relief_Pitcher,73,200.0,27.9,11
35,A.J._Pierzynski,CWS,Catcher,75,245.0,30.17,7
36,Toby_Hall,CWS,Catcher,75,240.0,31.36,10
37,Paul_Konerko,CWS,First_Baseman,74,215.0,30.99,1
38,Tadahito_Iguchi,CWS,Second_Baseman,69,185.0,32.24,9
39,Juan_Uribe,CWS,Shortstop,71,175.0,27.61,12
40,Alex_Cintron,CWS,Shortstop,74,199.0,28.2,3
41,Joe_Crede,CWS,Third_Baseman,73,200.0,28.85,7
42,Josh_Fields,CWS,Third_Baseman,73,215.0,24.21,14
43,Ryan_Sweeney,CWS,Outfielder,76,200.0,22.02,7
44,Brian_N._Anderson,CWS,Outfielder,74,205.0,24.97,5
45,Luis_Terrero,CWS,Outfielder,74,206.0,26.78,1
46,Pablo_Ozuna,CWS,Outfielder,70,186.0,32.51,6
47,Scott_Podsednik,CWS,Outfielder,72,188.0,30.95,6
48,Jermaine_Dye,CWS,Outfielder,77,220.0,33.09,3
49,Darin_Erstad,CWS,Outfielder,74,210.0,32.74,9
50,Rob_Mackowiak,CWS,Outfielder,70,195.0,30.69,16
51,Jim_Thome,CWS,Designated_Hitter,76,244.0,36.51,20
52,Jerry_Owens,CWS,Designated_Hitter,75,195.0,26.03,3
53,Charlie_Haeger,CWS,Starting_Pitcher,73,200.0,23.45,4
54,Heath_Phillips,CWS,Starting_Pitcher,75,200.0,24.94,6
55,Gavin_Floyd,CWS,Starting_Pitcher,76,212.0,24.09,10
56,Jose_Contreras,CWS,Starting_Pitcher,76,224.0,35.23,16
57,Jon_Garland,CWS,Starting_Pitcher,78,210.0,27.43,19
58,Javier_Vazquez,CWS,Starting_Pitcher,74,205.0,30.6,9
59,Mark_Buehrle,CWS,Starting_Pitcher,74,220.0,27.94,20
60,Mike_MacDougal,CWS,Relief_Pitcher,76,195.0,29.99,6
61,David_Aardsma,CWS,Relief_Pitcher,77,200.0,25.17,15
62,Andrew_Sisco,CWS,Relief_Pitcher,81,260.0,24.13,17
63,Matt_Thornton,CWS,Relief_Pitcher,78,228.0,30.46,6
64,Bobby_Jenks,CWS,Relief_Pitcher,75,270.0,25.96,2
65,Boone_Logan,CWS,Relief_Pitcher,77,200.0,22.55,14
66,Sean_Tracey,CWS,Relief_Pitcher,75,210.0,26.29,18
67,Nick_Masset,CWS,Relief_Pitcher,76,190.0,24.79,15
68,Jose_Molina,ANA,Catcher,74,220.0,31.74,16
69,Jeff_Mathis,ANA,Catcher,72,180.0,23.92,3
70,Mike_Napoli,ANA,Catcher,72,205.0,25.33,15
71,Casey_Kotchman,ANA,First_Baseman,75,210.0,24.02,13
72,Kendry_Morales,ANA,First_Baseman,73,220.0,23.7,11
73,Shea_Hillenbrand,ANA,First_Baseman,73,211.0,31.59,4
74,Robb_Quinlan,ANA,First_Baseman,73,200.0,29.95,13
75,Howie_Kendrick,ANA,First_Baseman,70,180.0,23.64,14
76,Orlando_Cabrera,ANA,Shortstop,70,190.0,32.33,7
77,Erick_Aybar,ANA,Shortstop,70,170.0,23.13,7
78,Dallas_McPherson,ANA,Third_Baseman,76,230.0,26.6,1
79,Maicer_Izturis,ANA,Third_Baseman,68,155.0,26.46,3
80,Reggie_Willits,ANA,Outfielder,71,185.0,25.75,17
81,Tommy_Murphy,ANA,Outfielder,72,185.0,27.51,20
82,Terry_Evans,ANA,Outfielder,75,200.0,25.11,8
83,Gary_Matthews_Jr.,ANA,Outfielder,75,225.0,32.51,18
84,Garret_Anderson,ANA,Outfielder,75,225.0,34.67,2
85,Vladimir_Guerrero,ANA,Outfielder,75,220.0,31.06,19
86,Chone_Figgins,ANA,Outfielder,68,160.0,29.1,2
87,Juan_Rivera,ANA,Outfielder,74,205.0,28.66,13
88,John_Lackey,ANA,Starting_Pitcher,78,235.0,28.35,1
89,Bartolo_Colon,ANA,Starting_Pitcher,71,250.0,33.77,14
90,Kelvim_Escobar,ANA,Starting_Pitcher,73,210.0,30.89,11
91,Dustin_Moseley,ANA,Starting_Pitcher,76,190.0,37.74,13
92,Ervin_Santana,ANA,Starting_Pitcher,74,160.0,24.14,4
93,Joe_Saunders,ANA,Starting_Pitcher,74,200.0,25.71,11
94,Jered_Weaver,ANA,Starting_Pitcher,79,205.0,24.41,20
95,Chris_Resop,ANA,Relief_Pitcher,75,222.0,24.32,1
96,Phil_Seibel,ANA,Relief_Pitcher,73,195.0,28.09,7
97,Justin_Speier,ANA,Relief_Pitcher,76,205.0,33.31,5
98,Darren_Oliver,ANA,Relief_Pitcher,74,220.0,36.4,13
99,Hector_Carrasco,ANA,Relief_Pitcher,74,220.0,37.36,11
100,Scot_Shields,ANA,Relief_Pitcher,73,170.0,31.61,10
101,Francisco_Rodriguez,ANA,Relief_Pitcher,72,185.0,25.14,8
102,Greg_Jones,ANA,Relief_Pitcher,74,195.0,30.29,9
103,Doug_Mirabelli,BOS,Catcher,73,220.0,36.37,6
104,Jason_Varitek,BOS,Catcher,74,230.0,34.89,17
105,George_Kottaras,BOS,Catcher,72,180.0,23.79,13
106,Kevin_Youkilis,BOS,First_Baseman,73,220.0,27.96,13
